行驶里程,行驶时长,平均时速,时速标准差,时速最大值,平稳性,转速平均值,转速标准差,转速最大值,早晚高峰,深夜出行,极度拥堵,高速行驶,疲劳驾驶,车号
139,1.648332,80.39880952,32.42422499,124,1.18627192,1772.514881,429.3926264,3021,0,0,0.073412698,0.549603175,0,1
49,0.9438888,50.98571429,46.89702276,122,1.218076019,1395.925,623.3586632,2825,0,0,0.396428571,0.355357143,0,1
1,0.0997224,9.704918033,12.46106505,34,1.079889958,933.6065574,312.975999,1591,0,0,0.68852459,0,0,1
45,1.6861104,27.8,24.93147616,86,1.138879099,1145.042105,359.1972145,2610,1,0,0.368421053,0,0,1
35,0.7897224,45.86681223,27.28530177,92,1.136246663,1343.864629,397.1544894,2387,0,0,0.194323144,0.006550218,0,1
5,0.3219432,15.30769231,16.42187667,66,1.060179614,1059.097436,333.9207507,1994,0,0.829167381,0.528205128,0,0,1
3,0.517224,9.912663755,13.75829148,40,1.100435363,939.69869,304.4789352,1704,0,0,0.650655022,0,0,1
12,0.5205552,22.71197411,17.31501166,52,1.093416346,1151.430421,323.4587819,1889,0,0,0.343042071,0,0,1
2,0.2633352,10.40645161,11.12426666,42,0.912923758,961.7225806,283.7172439,1652,0,0,0.587096774,0,0,1
2,0.346944,10.68902439,13.19163619,46,1.069183567,926.6280488,328.0937535,1720,1,0,0.640243902,0,0,1
14,0.9052776,16.46730769,17.87784736,60,1.098802489,1029.982692,336.4897363,2285,1,0,0.542307692,0,0,1
0.08,0.0988896,9.45,11.22410391,32,0.953237692,947.3833333,311.2013404,1694,0.443816135,0,0.666666667,0,0,1
1,0.1283328,11.51351351,15.54951723,51,1.042020519,973.3243243,318.2494545,1581,0,0,0.675675676,0,0,1
5,0.2783328,19,11.35298392,54,0.796117004,1150.169697,262.547455,1812,0,0,0.272727273,0,0,1
6,0.3361104,18.37055838,18.78421358,79,1.053470639,1071.233503,387.1675879,2428,0,0,0.492385787,0,0,1
2,0.2477784,8.186206897,11.36392086,37,1.00957611,899.3310345,299.4841875,1858,0,0,0.717241379,0,0,1
0.27,0.3330552,2.567164179,8.539128551,56,1.044933258,807.2587065,224.6879007,2166,0.209341875,0,0.925373134,0,0,1
1,0.0836112,11.96078431,18.51481654,63,0.938379591,987.54,428.0852104,2296,0,0,0.725490196,0,0,1
1,0.0822216,9.955223881,8.685468247,28,0.951490318,1087.134328,305.9998463,1770,0,0,0.567164179,0,0,2
73,2.7266664,34.6199095,31.30199143,113,1.135852769,1305.618401,499.3838973,2600,0.091585241,0,0.394419306,0.045248869,2.7266664,2
3,0.198888,18.92372881,17.07807951,56,0.982947755,1206.076271,431.8662375,2289,1,0,0.466101695,0,0,2
3,0.5552784,14.9378882,17.27595491,67,1.03944232,1069.15528,370.5039736,2346,0,0,0.652173913,0,0,2
45,1.1427792,36.44165171,26.45415995,83,1.029575114,1353.183124,402.9031948,2337,0,1,0.29443447,0,0,2
23,0.9047232,26.53846154,22.99045493,82,1.071556655,1216.422139,422.1803191,2437,0,0,0.405253283,0,0,2
3,0.255,13.74025974,13.36995226,51,0.821335969,1115.11039,411.2805216,2134,0,0,0.564935065,0,0,2
1,0.1061112,11.87692308,11.25209382,41,0.6915014,1161.984615,456.2338864,2347,0,0,0.584615385,0,0,2
2,0.335556,10.21556886,12.21894626,47,0.863500705,1028.005988,374.0911637,2096,0,0,0.658682635,0,0,2
29,1.451112,24.51122853,24.61828037,93,1.088438544,1232.800528,434.72941,2525,0,0,0.451783355,0.002642008,0,2
32,0.7997232,38.18982387,27.88950843,88,1.11169052,1389.056751,434.2048928,2666,0.079890642,0,0.27592955,0,0,2
27,2.0672232,14.01578073,16.5014093,70,1.031063382,1051.379568,378.3912237,2365,1,0,0.627906977,0,2.0672232,2
40,1.0877784,39.09724473,22.51349398,90,1.056133198,1451.45705,394.2042517,3009,0,0,0.166936791,0,0,2
62,2.5983336,26.49313187,23.878126,97,1.025826249,1263.861951,487.7641797,3491,0,1,0.386675824,0.004807692,2.5983336,2
301,3.669444,90.21686747,42.83844362,160,1.145343416,2192.601908,710.1446367,4008,0,0,0.096385542,0.601405622,3.669444,2
15,0.4213896,35.27407407,22.84843536,77,1.109175586,1339.403704,437.101721,2278,0,0.032298851,0.262962963,0,0,2
6,0.4252776,18.10169492,12.97584652,43,0.811053486,1209.673729,410.7466159,2034,0,1,0.368644068,0,0,2
8,0.5088888,26.16666667,18.77583282,77,0.892379341,1356.038095,532.089704,4806,0,1,0.280952381,0,0,2
23,0.5458344,45.27430556,25.52769418,94,1.069776707,1491.121528,461.1279261,2605,0,1,0.163194444,0.010416667,0,2
33,2.3172216,14.58157603,16.64576203,75,1.011334489,1054.615982,392.5516995,2598,0,0,0.564927858,0,2.3172216,2
7,0.388332,18.74336283,16.48529514,52,0.948984626,1194.526549,432.9475634,2829,0,0,0.455752212,0,0,2
12,0.390276,33.55793991,23.45791057,78,1.079380255,1345.339056,417.6941331,2534,0,0,0.278969957,0,0,2
12,0.4469424,29.41353383,21.86808748,79,1.083044768,1269.665414,442.9236027,2919,1,0,0.289473684,0,0,2
1,0.1672224,10.77884615,11.30594545,40,1.028840651,1001.75,323.61354,1864,0,0,0.653846154,0,0,2
2,0.185832,15.94690265,14.94862673,52,1.073290479,1088.884956,407.5083424,2070,0,0,0.530973451,0,0,2
8,0.4961112,18.87900356,16.01850338,57,1.042519473,1160.740214,399.6535644,2138,0,0,0.427046263,0,0,2
5,0.3188904,18.70652174,15.78928048,63,1.039210805,1184.918478,420.0925463,2363,0,0,0.407608696,0,0,2
50,1.9694448,26.4068582,25.6131197,90,1.142433325,1196.434662,465.0108574,2435,0,0,0.44300278,0,0,2
16,1.2958344,16.59512938,17.05659091,67,1.0408279,1099.158295,431.8270698,2462,0.038799402,0,0.515981735,0,0,2
31,0.8572224,37.64891519,27.69895715,94,1.132818617,1336.641026,415.8981962,2319,1,0,0.264299803,0.003944773,0,2
23,0.8297208,27.37980769,22.12124261,67,1.110119274,1246.637019,424.4182814,2608,0.334449853,0,0.377403846,0,0,2
2,0.123888,21.14102564,15.75768158,49,0.857141907,1244.679487,421.6846084,2147,0,1,0.358974359,0,0,2
53,1.689444,35.92588496,29.00971759,106,1.121871811,1340.443584,472.917105,2578,0,0.810918622,0.311946903,0.009955752,0,2
12,0.2622216,44.4556213,29.39103333,111,1.054868712,1527.005917,512.5303881,3180,0,0,0.189349112,0.059171598,0,2
0.05,0.0669432,11.9,7.055419716,20,0.456839967,986.65,335.8328649,1494,0,0,0.4,0,0,2
0.08,0.1019424,11.24074074,12.94973619,36,0.994842388,1008.888889,390.7980063,1959,0,0,0.592592593,0,0,2
57,1.6361112,38.70833333,28.20095104,112,1.097916857,1373.102477,454.9851462,2781,0,0,0.283783784,0.015765766,0,2
21,0.596388,37.65923567,23.98791883,95,1.087528923,1397.245223,409.2616125,2424,1,0,0.187898089,0.003184713,0,2
19,0.5011104,38.5147541,23.32029439,78,1.039454559,1408.24918,452.592812,2448,0,1,0.206557377,0,0,2
0.05,0.0644448,13.34693878,11.01240025,39,0.773040666,1122.306122,372.7565226,1889,0,0,0.510204082,0,0,2
50,2.1936096,25.1370768,26.81348565,91,1.126131368,1191.422791,453.6966616,2566,0,0,0.483897605,0.001651528,2.1936096,2
3,0.1911096,20.04464286,19.9880092,62,0.957596296,1249.4375,504.2627083,2350,0,0,0.526785714,0,0,2
6,0.585,11.70571429,14.86584599,57,1.07471055,1033.842857,322.3306528,1989,0,0,0.668571429,0,0,2
37,0.8152776,47.07563025,21.55596278,82,1.072672396,1476.87605,378.5558311,2733,0,0,0.12394958,0,0,2
12,0.4083336,31.5,21.93527703,72,1.080096298,1348.557377,436.9614508,2165,1,0,0.274590164,0,0,2
0.07,0.09,4.910714286,4.370466111,18,0.669286678,867.9107143,165.6466422,1377,0,0,0.946428571,0,0,2
35,1.5905544,26.22738095,26.14773217,100,1.108339582,1221.832143,466.0709729,2768,0,0,0.460714286,0.010714286,0,2
6,0.6113904,14.12956811,18.030155,67,1.005686882,1073.501661,402.9837848,3117,0,0,0.641196013,0,0,2
3,0.1880544,20.40350877,17.64132282,53,0.957146735,1251.657895,470.9343345,2365,0,0,0.438596491,0,0,2
45,1.194444,38.56783217,25.6554814,90,1.077667157,1401.165035,440.4994659,2769,0,0,0.237762238,0,0,2
0.06,0.071112,15.66666667,14.39328547,51,0.618856874,1207.848485,487.6385137,2494,0.246101924,0,0.484848485,0,0,2
12,0.8588904,15.30588235,26.05616883,106,1.112521377,1027.752941,463.5097311,2923,1,0,0.756862745,0.033333333,0,2
47,1.2311112,42.58308605,26.59742939,109,1.069792878,1464.682493,462.7979544,4182,0,0,0.221068249,0.013353116,0,2
36,1.0080552,34.14864865,22.28650996,87,1.048426314,1394.20777,414.8340329,2721,0,0,0.206081081,0,0,2
3,0.2858328,18.8317757,14.22626191,52,0.96830573,1195.635514,387.2181237,2028,0.715257311,0,0.429906542,0,0,2
7,0.5113896,16.64401294,12.70223948,51,0.759445388,1171.352751,421.5637423,2357,0,0,0.427184466,0,0,2
34,0.7186104,47.76755448,26.6180137,96,1.114547501,1468.418886,395.4356284,2624,0,1,0.167070218,0.007263923,0,2
12,0.5552784,25.53333333,20.40777171,69,1.088419117,1235.363333,409.1857785,2180,0,0,0.353333333,0,0,2
8,0.2544456,44.9516129,26.77878509,88,1.118373209,1493.096774,424.5547533,2739,0,0,0.169354839,0,0,2
37,2.3808336,17.72554966,26.39596708,108,1.141998317,1012.460955,489.613131,3065,0.746237452,0,0.675511751,0.015921152,2.3808336,2
0.06,0.0741672,4,5.045249791,20,0.434852503,808.0222222,207.8582875,1501,1,0,0.911111111,0,0,2
2,0.1013904,22.89705882,16.86127747,59,0.927701681,1288.764706,463.712891,2524,0,0,0.382352941,0,0,2
25,0.6461112,38.0672043,25.85077016,88,1.072712428,1410.653226,446.8203275,2530,0,0,0.25,0,0,2
4,0.2213904,20.37857143,17.80650106,54,0.930437555,1193.664286,462.4980282,2344,0,1,0.457142857,0,0,2
23,0.6586104,35.95969773,20.99911946,65,1.089508543,1367.959698,405.7742112,2508,0,0.472376385,0.22418136,0,0,2
20,1.02,20.88514851,20.47943891,76,1.035257881,1190.918812,434.9108047,2594,0.691449412,0,0.500990099,0,0,2
17,0.5336112,33.67278287,24.97163961,78,1.095486952,1356.963303,485.5096922,2418,0,0,0.287461774,0,0,2
24,0.678612,33.87740385,24.79995859,87,1.107639917,1350.737981,424.1703637,2407,0,0,0.274038462,0,0,2
35,0.8691672,39.03307393,33.60434965,109,1.118477925,1387.307393,502.8972346,2485,0,0,0.375486381,0.052529183,0,2
15,0.3686112,39.62114537,28.57047013,98,1.001928588,1442.867841,492.944252,3999,0,1,0.27753304,0.017621145,0,2
34,1.3913904,24.92682927,23.57896897,88,1.042416098,1264.193902,473.9527832,3574,0,0,0.414634146,0,0,2
5,0.7847232,9.348668281,11.26638955,51,0.877427898,981.7070218,347.5874185,2343,0,0,0.690072639,0,0,2
10,1.6355544,9.468446602,13.95972246,61,1.063709971,1002.740291,332.924211,2441,0,0,0.722087379,0,0,2
26,1.10028,33.10891089,25.15156476,85,1.094825802,1349.065347,425.4764249,2536,0,1,0.297029703,0,0,2
9,0.2580552,29.75438596,21.76744523,66,1.090186734,1340.812865,420.2920134,2433,0,0,0.304093567,0,0,2
15,0.320556,48.94791667,27.70785127,116,1.076164321,1596.135417,465.1214472,3023,0,0,0.135416667,0.083333333,0,2
16,0.7752768,38.256917,35.89249272,103,1.137719387,1376.940711,569.0071767,2496,0,0,0.391304348,0.090909091,0,2
25,0.6513888,35.61038961,24.5780834,92,1.06020862,1383.787013,468.8040984,3015,0,0,0.277922078,0.002597403,0,2
32,0.9038904,35.87755102,34.17296695,111,1.142107777,1334.742115,522.2646944,2882,0,1,0.406307978,0.057513915,0,2
49,1.8322224,29.64228457,26.13933991,89,1.140778626,1235.986974,470.3204768,2666,0,0,0.418837675,0,0,2
46,0.8724984,59.799117,24.19357406,106,1.105993861,1618.421634,398.1715579,2519,0.879975024,0,0.072847682,0.04415011,0,2
13,0.3641688,37.98578199,25.72852385,76,1.117959372,1341.971564,432.7011827,2500,0.418764046,0,0.255924171,0,0,2
26,1.0972224,24.9022082,22.79623098,82,1.079474876,1223.201893,421.4298578,2543,0,0,0.402208202,0,0,2
12,0.4036104,32.08677686,31.53284382,127,1.028844206,1367.92562,605.9409769,3458,1,0,0.359504132,0.078512397,0,2
15,0.3294432,41.86842105,30.13581976,91,1.104694841,1377.372807,486.3758418,2472,0,0,0.280701754,0.004385965,0,2
4,0.2355552,16.24074074,14.17758074,48,1.000612659,1150.611111,434.6288093,2145,1,0,0.481481481,0,0,2
40,1.0922232,37.60280374,24.57068872,99,1.095038583,1385.711838,435.9907034,2577,0,0,0.235202492,0.009345794,0,2
13,0.5141664,28.22108844,24.32856923,81,1.095896834,1251.040816,436.8747976,2203,0,0,0.37755102,0,0,2
0.05,0.0586104,8.694444444,8.918101798,31,0.807455948,961.1944444,395.0335117,2002,0,0,0.666666667,0,0,2
52,1.185,51.17412141,28.01919401,100,1.128540224,1522.1056,429.7620559,2602,0,0,0.158146965,0.03514377,0,2
6,0.2772216,29.49275362,21.34569355,68,0.995539052,1037.876812,231.3429045,1566,1,0,0.275362319,0,0,3
12,0.5125008,27.68275862,21.98763523,79,0.9997331,1007.717241,170.7535792,1544,0,0,0.344827586,0,0,3
34,0.7436112,54.0199005,21.34994267,95,0.952755154,1178.557214,213.7745053,1743,0,0.872246141,0.042288557,0.02238806,0,3
